alpha = 0.75, gamma = 1, trial = 9, reward = -0.5
alpha = 0.75, gamma = 1, trial = 9, reward = 0.0
alpha = 0.75, gamma = 1, trial = 9, reward = 2.0
alpha = 0.75, gamma = 1, trial = 9, reward = -0.5
alpha = 0.75, gamma = 1, trial = 9, reward = -0.5
alpha = 0.75, gamma = 1, trial = 9, reward = 2.0
alpha = 0.75, gamma = 1, trial = 9, reward = -1.0
alpha = 0.75, gamma = 1, trial = 9, reward = -1.0
alpha = 0.75, gamma = 1, trial = 9, reward = 0.0
alpha = 0.75, gamma = 1, trial = 9, reward = 2.0
Primary agent ran out of time! Trial aborted.
alpha = 0.75, gamma = 1, trial = 9, reward = -0.5
alpha = 0.75, gamma = 1, trial = 10, reward = -0.5
alpha = 0.75, gamma = 1, trial = 10, reward = -0.5
alpha = 0.75, gamma = 1, trial = 10, reward = 0.0
alpha = 0.75, gamma = 1, trial = 10, reward = 0.0
alpha = 0.75, gamma = 1, trial = 10, reward = 0.0
alpha = 0.75, gamma = 1, trial = 10, reward = 0.0
alpha = 0.75, gamma = 1, trial = 10, reward = -0.5
alpha = 0.75, gamma = 1, trial = 10, reward = -1.0
alpha = 0.75, gamma = 1, trial = 10, reward = -0.5
alpha = 0.75, gamma = 1, trial = 10, reward = 0.0
alpha = 0.75, gamma = 1, trial = 10, reward = 2.0
alpha = 0.75, gamma = 1, trial = 10, reward = -0.5
alpha = 0.75, gamma = 1, trial = 10, reward = -0.5
alpha = 0.75, gamma = 1, trial = 10, reward = 2.0
alpha = 0.75, gamma = 1, trial = 10, reward = -1.0
alpha = 0.75, gamma = 1, trial = 10, reward = 0.0
alpha = 0.75, gamma = 1, trial = 10, reward = 0.0
alpha = 0.75, gamma = 1, trial = 10, reward = -0.5
alpha = 0.75, gamma = 1, trial = 10, reward = 2.0
alpha = 0.75, gamma = 1, trial = 10, reward = 0.0
Primary agent ran out of time! Trial aborted.
alpha = 0.75, gamma = 1, trial = 10, reward = -0.5
alpha = 0.75, gamma = 1, trial = 11, reward = 2.0
alpha = 0.75, gamma = 1, trial = 11, reward = -0.5
alpha = 0.75, gamma = 1, trial = 11, reward = -1.0
alpha = 0.75, gamma = 1, trial = 11, reward = -0.5
alpha = 0.75, gamma = 1, trial = 11, reward = -1.0
alpha = 0.75, gamma = 1, trial = 11, reward = -0.5
alpha = 0.75, gamma = 1, trial = 11, reward = -0.5
alpha = 0.75, gamma = 1, trial = 11, reward = 0.0
alpha = 0.75, gamma = 1, trial = 11, reward = -1.0
alpha = 0.75, gamma = 1, trial = 11, reward = 2.0
alpha = 0.75, gamma = 1, trial = 11, reward = -0.5
alpha = 0.75, gamma = 1, trial = 11, reward = -0.5
alpha = 0.75, gamma = 1, trial = 11, reward = 0.0
alpha = 0.75, gamma = 1, trial = 11, reward = -1.0
alpha = 0.75, gamma = 1, trial = 11, reward = -1.0
alpha = 0.75, gamma = 1, trial = 11, reward = -0.5
alpha = 0.75, gamma = 1, trial = 11, reward = -1.0
alpha = 0.75, gamma = 1, trial = 11, reward = -0.5
alpha = 0.75, gamma = 1, trial = 11, reward = -1.0
alpha = 0.75, gamma = 1, trial = 11, reward = -1.0
Primary agent ran out of time! Trial aborted.
alpha = 0.75, gamma = 1, trial = 11, reward = 2.0
alpha = 0.75, gamma = 1, trial = 12, reward = -1.0
alpha = 0.75, gamma = 1, trial = 12, reward = 2.0
alpha = 0.75, gamma = 1, trial = 12, reward = -1.0
alpha = 0.75, gamma = 1, trial = 12, reward = 0.0
alpha = 0.75, gamma = 1, trial = 12, reward = 0.0
alpha = 0.75, gamma = 1, trial = 12, reward = 2.0
alpha = 0.75, gamma = 1, trial = 12, reward = 0.0
alpha = 0.75, gamma = 1, trial = 12, reward = 2.0
alpha = 0.75, gamma = 1, trial = 12, reward = 0.0
alpha = 0.75, gamma = 1, trial = 12, reward = -0.5
alpha = 0.75, gamma = 1, trial = 12, reward = -1.0
alpha = 0.75, gamma = 1, trial = 12, reward = 2.0
alpha = 0.75, gamma = 1, trial = 12, reward = -0.5
alpha = 0.75, gamma = 1, trial = 12, reward = 0.0
alpha = 0.75, gamma = 1, trial = 12, reward = -0.5
alpha = 0.75, gamma = 1, trial = 12, reward = -0.5
alpha = 0.75, gamma = 1, trial = 12, reward = 2.0
alpha = 0.75, gamma = 1, trial = 12, reward = 2.0
alpha = 0.75, gamma = 1, trial = 12, reward = -1.0
alpha = 0.75, gamma = 1, trial = 12, reward = -0.5
alpha = 0.75, gamma = 1, trial = 12, reward = 2.0
alpha = 0.75, gamma = 1, trial = 12, reward = -1.0
alpha = 0.75, gamma = 1, trial = 12, reward = 0.0
alpha = 0.75, gamma = 1, trial = 12, reward = 0.0
alpha = 0.75, gamma = 1, trial = 12, reward = 2.0
alpha = 0.75, gamma = 1, trial = 12, reward = 2.0
alpha = 0.75, gamma = 1, trial = 12, reward = -0.5
